participantId,trialNumber,targetSize,distance,direction,timeMs,distanceTraveled,errorCount
P8417,1,90,100,right,2724,4074.4902292992406,0
P8417,2,90,200,left,1394,443.85458248642806,0
P8417,3,90,200,left,1291,309.69960977996436,0
P8417,4,30,200,left,1048,221.69277042367958,0
P8417,5,60,300,left,1034,416.45998059248024,0
P8417,6,90,200,left,824,319.1381687253562,0
P8417,7,60,300,left,1019,535.0795740288844,0
P8417,8,30,300,left,1169,486.6266729584041,0
P8417,9,30,200,right,1560,540.0992515207035,1
P8417,10,30,200,left,1043,353.7289590398816,0
P8417,11,60,300,left,879,351.67491081005807,0
P8417,12,60,300,right,1229,592.8906584703856,0
P8417,13,30,200,right,1845,556.353388948059,1
P8417,14,90,300,left,674,359.5045690362873,0
P8417,15,60,200,right,1477,525.1431447783101,0
P8417,16,30,200,left,1292,236.675813014674,0
P8417,17,30,200,right,989,201.69146838515624,0
P8417,18,90,300,right,682,324.9476286257246,0
P8417,19,30,100,right,1890,518.856062365054,1
P8417,20,60,200,left,1013,261.26828658070355,0
P8417,21,30,100,left,1050,219.53707541035027,0
P8417,22,30,100,left,1164,202.92638483905583,0
P8417,23,90,200,left,1133,211.48145752421232,0
P8417,24,30,200,left,1499,291.8831497344455,0
P8417,25,30,200,left,2220,217.3895527283168,2
P8417,26,30,100,right,1039,190.928066988321,0
P8417,27,30,200,left,967,254.20498542722882,0
P8417,28,90,100,right,674,128.84200831839968,0
P8417,29,90,200,right,885,244.99854846366648,0
P8417,30,90,300,left,1063,722.4808710129498,0
P8417,31,90,300,right,1328,679.1049694545144,1
P8417,32,90,300,left,1012,459.0892065455679,0
P8417,33,90,300,left,1088,451.76839139692095,0
P8417,34,90,100,left,976,664.2424526119048,0
P8417,35,60,200,left,996,233.55463314085543,0
P8417,36,90,200,left,863,234.75314021588434,0
P8417,37,30,100,right,1297,400.1867286247172,0
P8417,38,60,300,left,944,453.03250083458164,0
P8417,39,60,200,left,691,238.3258474060636,0
P8417,40,60,200,left,1246,207.95934225398003,1
P8417,41,90,100,left,757,112.03835899387414,0
P8417,42,30,100,left,1200,205.55404873224754,0
P8417,43,60,200,left,1238,199.23563231736048,0
P8417,44,90,200,right,815,347.4960581086419,0
P8417,45,60,100,left,658,113.52986968705373,0
P8417,46,60,300,left,1214,340.7395494342599,0
P8417,47,90,300,right,1396,579.9542109047893,0
P8417,48,60,300,left,1199,311.8832064567021,0
P8417,49,30,300,right,1044,354.08012228230143,0
P8417,50,90,100,left,908,125.63738355632856,0
P8417,51,30,100,left,1073,144.19336929241933,0
