participantId,trialNumber,targetSize,distance,direction,timeMs,distanceTraveled,errorCount
P6772,1,90,100,right,617,104.00706776327601,0
P6772,2,30,300,left,1083,381.117219870487,0
P6772,3,60,200,right,1336,262.86410390015806,0
P6772,4,90,300,left,769,274.8107183963633,0
P6772,5,90,100,left,870,126.07002455312855,0
P6772,6,60,100,left,694,126.05197993042158,0
P6772,7,60,300,left,2168,310.7498936601749,1
P6772,8,30,200,left,1180,271.2656557035255,0
P6772,9,90,100,right,831,138.97531401335513,0
P6772,10,60,100,right,954,123.3854048496478,0
P6772,11,90,200,left,758,251.17036698712084,0
P6772,12,60,100,left,705,113.98905170759383,0
P6772,13,30,100,right,1255,120.72965349535632,0
P6772,14,90,100,right,1210,136.59995199383164,0
P6772,15,60,300,right,906,329.4914318795448,0
P6772,16,90,200,right,793,214.79951650556396,0
P6772,17,90,100,right,667,115.15802843538312,0
P6772,18,30,100,left,756,112.93593445901911,0
P6772,19,30,200,right,947,235.6985948350594,0
P6772,20,30,100,right,2195,165.35431728521502,0
P6772,21,30,300,right,1041,333.32915357550706,0
P6772,22,60,300,right,937,299.13539426134963,0
P6772,23,90,100,left,701,161.40422858031232,0
P6772,24,90,100,left,750,118.76062225505609,0
P6772,25,90,100,left,715,106.73545527679195,0
P6772,26,60,200,left,791,191.8937177662866,0
P6772,27,60,200,left,979,240.4638038791672,0
P6772,28,60,200,left,754,187.44593008613154,0
P6772,29,90,200,right,823,263.3565334930862,0
P6772,30,30,300,right,997,360.3660348778539,0
P6772,31,30,200,right,1081,285.69783621722814,0
P6772,32,90,100,left,716,92.07951498085133,0
P6772,33,30,200,right,1097,220.03144894561612,0
P6772,34,60,300,right,963,310.5009119547047,0
P6772,35,30,200,right,971,211.5033445083472,0
P6772,36,30,300,right,970,313.4819736054825,0
P6772,37,90,100,left,677,139.60938914395823,0
P6772,38,60,100,right,773,125.1393775329484,0
P6772,39,90,200,left,971,213.2308502264175,0
P6772,40,60,100,right,766,121.32079245967178,0
P6772,41,30,200,left,1354,300.9830268901,0
P6772,42,90,300,left,1194,393.6204841942595,0
P6772,43,30,200,left,1480,282.91523191402945,0
P6772,44,60,300,right,1213,422.2324870137375,0
P6772,45,30,200,left,1249,236.69205274922254,0
P6772,46,90,200,left,1060,209.6948024447719,0
P6772,47,90,300,right,1214,304.29651648819487,0
P6772,48,90,200,right,2170,308.9507574284324,0
P6772,49,30,300,right,1055,328.40579165934383,0
P6772,50,30,100,left,1241,155.05812674189278,0
P6772,51,60,100,left,870,91.88341204145597,0
P6772,52,90,200,left,759,190.19547197429696,0
P6772,53,60,200,left,1216,268.2091293739606,0
P6772,54,30,100,left,1257,153.89734523939111,0
P6772,55,60,300,left,790,308.14051422453383,0
P6772,56,90,200,right,864,268.4656669657501,0
P6772,57,60,100,right,1269,128.1837621362004,0
P6772,58,90,100,right,1347,95.06870216695947,0
P6772,59,30,100,left,1613,135.66145282935958,0
P6772,60,30,200,right,2187,476.8607722319041,0
P6772,61,90,300,right,1237,314.9548860186494,0
P6772,62,60,100,right,881,121.44758071593613,0
P6772,63,90,300,left,1356,349.7678986940959,0
P6772,64,60,200,right,1061,246.54228228339326,0
P6772,65,90,200,left,1398,249.67736266807194,0
P6772,66,30,100,right,853,101.17661719291257,0
P6772,67,30,300,right,1246,318.48797036780184,0
P6772,68,30,200,left,982,253.40919554501295,0
P6772,69,90,200,left,890,261.9701228828245,0
P6772,70,60,200,right,1114,332.37483103792704,0
P6772,71,60,100,left,716,101.54451253578802,0
P6772,72,30,200,right,1291,222.55933128049804,0
P6772,73,90,300,right,1275,300.5670792990239,0
P6772,74,60,100,left,1482,110.52167943726195,0
P6772,75,60,200,right,1619,291.7931107230182,0
P6772,76,30,300,left,1369,429.8481404176756,0
P6772,77,30,200,right,1314,254.53889078964096,0
P6772,78,60,200,left,768,207.16276481739072,0
P6772,79,30,200,right,949,235.32606829429255,0
P6772,80,60,100,right,1747,191.00165389664755,0
P6772,81,90,300,left,1134,358.8921675689653,0
P6772,82,60,200,left,780,189.72225713993717,0
P6772,83,30,100,right,1028,164.43435069167776,0
P6772,84,60,300,right,1510,295.2989472080784,0
P6772,85,90,300,right,1186,435.5533830741319,0
P6772,86,30,300,left,1050,358.3742680670371,0
P6772,87,30,100,left,1428,318.24908633849043,0
P6772,88,90,100,right,723,181.5553851381374,0
P6772,89,30,100,right,995,90.24737332466549,0
P6772,90,30,200,right,1306,192.79055679176741,0
P6772,91,60,300,right,952,315.38543177315785,0
P6772,92,90,300,left,1007,289.24348794200785,0
P6772,93,90,200,right,1112,259.83567452926553,0
P6772,94,60,200,right,884,196.30467570313604,0
P6772,95,60,300,right,1348,363.9457315281608,0
P6772,96,60,100,left,755,102.55565817296139,0
P6772,97,60,200,right,1222,237.60918475819253,0
P6772,98,60,300,left,1020,381.2619476554135,0
P6772,99,60,100,right,1002,199.2633414190462,0
P6772,100,90,100,right,1049,117.47502534477896,0
P6772,101,90,100,left,1081,137.6875187781103,0
P6772,102,90,200,right,1251,193.71294780322532,0
P6772,103,90,100,left,2002,123.40441626873186,0
P6772,104,60,300,left,1817,399.087595663816,0
P6772,105,30,200,left,1721,364.2009565066033,0
P6772,106,30,300,left,2361,389.0354204877697,0
P6772,107,90,300,left,1403,284.87729529375395,0
P6772,108,90,200,right,1881,203.21370147117074,1
P6772,109,30,100,left,1554,137.98116169542774,0
P6772,110,90,200,right,849,211.28073823892623,0
P6772,111,60,200,right,983,184.34802884275152,0
P6772,112,30,300,left,1092,409.44943194210686,0
P6772,113,90,200,left,697,190.05741033450786,0
P6772,114,60,100,right,870,162.689667758605,0
P6772,115,60,300,left,1033,297.072856039302,0
P6772,116,90,300,right,972,292.99682727649906,0
P6772,117,30,100,left,1557,157.02540114018726,1
P6772,118,60,300,left,993,340.807860630075,0
P6772,119,30,300,left,1192,349.0141993456176,0
P6772,120,30,300,right,1064,435.3431595051242,0
P6772,121,90,300,left,1238,370.24631767088783,0
P6772,122,60,300,right,926,316.8153796370107,0
P6772,123,90,300,right,1052,479.7859507307699,0
P6772,124,60,200,left,750,241.72364472848992,0
P6772,125,60,100,left,836,292.16641266540205,0
P6772,126,60,200,left,819,210.96159253908678,0
P6772,127,90,200,left,1159,590.1910647729886,0
P6772,128,90,200,right,1093,266.0720303931214,0
P6772,129,30,100,left,975,168.71679078376826,0
P6772,130,90,300,left,1270,311.0990823343571,0
P6772,131,30,100,right,1097,124.36261638877339,0
P6772,132,90,100,left,734,173.20404644638006,0
P6772,133,30,300,right,1434,327.90082625579817,0
P6772,134,90,100,left,683,128.8848643240047,0
P6772,135,60,300,left,1017,307.5481184942596,0
P6772,136,30,100,left,783,109.36692009763755,0
P6772,137,60,100,left,782,108.56136700574085,0
P6772,138,60,100,left,798,179.40610036186072,0
P6772,139,30,200,left,1094,200.2703868227983,0
P6772,140,30,100,right,1314,141.2192730510984,0
P6772,141,90,300,right,902,275.58749763131135,0
P6772,142,90,300,left,787,406.29186966240655,0
P6772,143,90,100,right,1082,253.23790266575816,0
P6772,144,30,300,right,999,305.6990494290325,0
P6772,145,60,100,right,1150,98.88193297767339,0
P6772,146,90,200,right,765,206.86344026340512,0
P6772,147,90,300,right,861,309.6548191072537,0
P6772,148,30,300,right,1016,316.66455439924476,0
P6772,149,90,200,left,1020,253.3971991668644,0
P6772,150,60,100,right,752,124.69994444925214,0
P6772,151,60,300,left,890,342.8536841224855,0
P6772,152,90,300,right,827,268.84037589208367,0
P6772,153,30,200,left,1017,242.79951844203364,0
P6772,154,30,200,left,897,236.11854093873472,0
P6772,155,90,100,right,718,131.1088183132935,0
P6772,156,30,200,right,976,273.09882173900127,0
P6772,157,30,200,left,1155,260.6090462760551,0
P6772,158,60,300,right,886,307.0309637646512,0
P6772,159,60,200,left,732,253.3391721237452,0
P6772,160,30,300,right,957,301.9936544690128,0
P6772,161,30,300,left,1048,344.9757822641489,0
P6772,162,60,200,left,734,214.96649653828845,0
P6772,163,60,300,left,767,302.08514162298786,0
P6772,164,60,100,left,707,123.1914621262917,0
P6772,165,60,200,right,784,195.45281159699024,0
P6772,166,30,300,left,1086,390.82301993447294,0
P6772,167,90,300,right,1106,549.51145409383,0
P6772,168,60,200,right,1420,211.50441514229195,0
P6772,169,90,200,left,923,226.20563918199235,0
P6772,170,90,100,right,1073,253.4628914295954,0
P6772,171,60,200,right,1251,191.46965220534133,0
P6772,172,30,100,right,1170,202.58391463365768,0
P6772,173,30,100,left,1208,151.69547733671445,0
P6772,174,30,300,left,1539,364.7178889172007,0
P6772,175,90,300,left,815,262.47730103051435,0
P6772,176,60,300,left,765,293.24362120739636,0
P6772,177,30,100,right,864,143.5679113063832,0
P6772,178,60,300,right,929,294.81189510409115,0
P6772,179,30,300,left,1321,360.336507428109,0
P6772,180,30,100,right,905,106.82693437852747,0
