participantId,trialNumber,targetSize,distance,direction,timeMs,distanceTraveled,errorCount
P7782,132,60,300,left,633,553.3019735578417,0
P7782,133,30,200,right,499,215.26054304748277,0
P7782,134,30,100,left,922,293.6776606725904,2
P7782,135,30,100,right,680,164.80079059487693,0
P7782,136,30,100,left,569,161.1599077372482,0
P7782,137,60,200,left,621,255.18684190972496,0
P7782,138,90,100,left,438,238.35689373084313,0
P7782,139,60,100,right,402,93.54234732227214,0
P7782,140,30,300,right,834,307.645052277337,0
P7782,141,30,300,left,633,312.17229392569374,0
P7782,142,90,100,left,472,199.79708818549625,0
P7782,143,90,100,left,469,394.65643108774225,0
P7782,144,90,200,left,497,266.48263763002683,0
P7782,145,90,100,right,425,464.82859131715094,0
P7782,146,60,200,left,423,334.6515315016594,0
P7782,147,90,300,left,675,575.591476965535,1
P7782,148,30,200,right,475,235.60952632389203,0
P7782,149,60,100,left,416,110.48546739749261,0
P7782,150,30,100,right,699,176.0222690380764,1
P7782,151,30,300,left,538,347.0297500052969,0
P7782,152,90,100,right,423,194.34331190910845,0
P7782,153,90,200,left,412,228.55671082891348,0
P7782,154,30,200,left,992,230.53199224664147,2
P7782,155,30,200,right,440,230.17501732055123,0
P7782,156,60,300,right,1456,951.8319846006835,2
P7782,157,30,200,left,1194,293.02961806787243,2
P7782,158,60,200,right,495,219.24894495504216,0
P7782,159,60,200,left,461,237.0513711886231,0
P7782,160,30,200,left,737,257.42380122229315,1
P7782,161,60,300,right,718,396.39837874462285,0
P7782,162,60,100,left,379,144.15132619454783,0
P7782,163,30,300,right,885,396.30350980601,0
P7782,164,60,100,right,453,233.15722887564468,0
P7782,165,90,200,right,493,248.61927625142735,0
P7782,166,90,200,left,459,231.75504031411424,0
P7782,167,60,300,left,615,381.41448044856946,0
P7782,168,30,300,left,685,409.4957063706142,0
P7782,169,30,100,left,744,276.73675578645305,0
P7782,170,60,300,right,587,296.14227496024074,0
P7782,171,30,300,right,761,312.2541199034145,0
P7782,172,90,200,left,422,254.63754029726516,0
P7782,173,60,100,left,453,236.98900632770466,0
P7782,174,60,200,right,575,252.67098143926742,0
P7782,175,60,100,left,454,116.89822877039789,0
P7782,176,60,200,left,833,227.08393723796675,1
P7782,177,90,300,left,651,410.5917644948425,0
P7782,178,30,200,left,691,359.4777947748937,0
P7782,179,90,200,left,515,252.4707938917639,0
P7782,180,60,300,left,659,356.1286702394491,0
