participantId,trialNumber,targetSize,distance,direction,timeMs,distanceTraveled,errorCount
P6099,1,90,100,right,428,236.71461699630268,0
P6099,2,60,300,right,729,485.04929120420053,1
P6099,3,90,200,left,701,429.9972612058665,1
P6099,4,90,200,left,520,263.75035474277274,0
P6099,5,30,300,left,660,369.7839280636463,0
P6099,6,90,200,right,470,229.6529799183945,0
P6099,7,60,100,right,424,313.42741787856517,0
P6099,8,60,100,left,538,236.0272613450793,1
P6099,9,30,100,right,500,337.954560124615,0
P6099,10,90,100,right,407,328.4595757462345,0
P6099,11,90,100,left,329,144.7999293003744,0
P6099,12,90,300,left,522,501.27351918492946,0
P6099,13,30,100,right,706,244.48620472028418,1
P6099,14,60,200,left,784,285.81299109109176,1
P6099,15,90,200,right,389,187.0255847041607,0
P6099,16,90,200,right,404,450.7096980402777,0
P6099,17,30,200,right,1149,594.9927385061031,2
P6099,18,30,300,left,813,413.43906399624734,0
P6099,19,90,100,left,419,189.42491113770234,0
P6099,20,60,100,left,425,205.9631036040714,0
P6099,21,90,300,left,1118,381.8911613035673,2
P6099,22,30,100,left,766,172.38429096321067,1
P6099,23,90,200,right,506,206.78972849763392,0
P6099,24,30,100,right,580,240.94280886203825,0
P6099,25,30,100,right,836,427.4276672140678,1
P6099,26,90,200,right,477,409.73221220271176,0
P6099,27,30,300,right,756,506.82283119481065,0
P6099,28,90,200,left,554,486.246476455673,0
P6099,29,60,200,left,811,301.1320393035047,1
P6099,30,60,100,left,438,322.0869120099409,0
P6099,31,60,300,right,463,299.1359781075229,0
P6099,32,60,200,right,520,433.44520742977966,0
P6099,33,30,100,right,424,108.6303124646529,0
P6099,34,60,300,right,612,519.0244023701284,0
P6099,35,90,300,right,580,602.7330229075451,0
P6099,36,60,200,right,1096,468.98336343816163,1
P6099,37,90,100,right,431,214.39206939396433,0
P6099,38,90,300,right,480,406.9374193799823,0
P6099,39,90,200,left,434,236.15277626456864,0
P6099,40,90,100,left,418,289.41571274207195,0
P6099,41,60,200,left,444,283.22168577754803,0
P6099,42,90,300,left,457,453.2079682393687,0
P6099,43,30,200,left,738,415.20776050386957,0
P6099,44,30,200,left,602,344.2306323489636,0
P6099,45,60,300,left,883,416.7568331706357,0
P6099,46,30,300,right,858,311.8566080449887,0
P6099,47,60,300,left,657,297.62608909156364,0
P6099,48,30,100,left,574,140.18002753447502,0
P6099,49,90,100,right,389,124.83930973700527,0
P6099,50,60,300,right,602,521.4789305216258,0
