participantId,trialNumber,targetSize,distance,direction,timeMs,distanceTraveled,errorCount
P9560,1,60,200,right,933,216.07111667670398,0
P9560,2,30,300,right,878,363.6806440480287,0
P9560,3,60,100,left,702,159.6962235281552,0
P9560,4,30,100,left,1247,220.2780183752457,1
P9560,5,90,200,right,728,197.59971145568562,0
P9560,6,60,300,left,747,285.2133104361077,0
P9560,7,90,300,left,720,308.54529433933635,0
P9560,8,90,200,right,700,235.56970388463932,0
P9560,9,60,300,left,637,298.8135776094989,0
P9560,10,60,300,right,846,316.65055297591715,0
P9560,11,60,100,right,724,199.33775613624198,0
P9560,12,90,300,left,680,288.1641393376752,0
P9560,13,90,100,left,666,131.163600919545,0
P9560,14,60,300,right,559,0,0
P9560,15,30,100,left,682,112.17075633838705,0
P9560,16,90,200,left,1036,191.59090261573866,0
P9560,17,90,300,left,819,352.25438594037513,0
P9560,18,30,300,right,800,296.6237918573543,0
P9560,19,90,200,right,1003,348.85164009656444,0
P9560,20,30,100,right,1167,160.08339658418146,0
P9560,21,90,200,right,940,221.00263496327048,0
P9560,22,30,100,right,1093,151.2061945721545,0
P9560,23,90,300,right,883,308.4979500659493,0
P9560,24,60,100,right,829,89.54567454813449,0
P9560,25,90,300,left,908,334.42357555071555,0
P9560,26,30,200,left,883,196.6608522614917,0
P9560,27,30,100,right,845,110.68219223428771,0
P9560,28,90,100,left,752,121.42352507669558,0
P9560,29,90,200,left,802,214.6406075870405,0
P9560,30,30,300,left,1213,399.7310796612764,0
P9560,31,60,300,right,1039,360.1499196099577,0
P9560,32,30,200,left,1035,255.56854348909513,0
P9560,33,30,300,left,1221,334.5933607575251,0
P9560,34,30,300,right,883,334.20002671856446,0
P9560,35,30,300,left,923,376.0621893641121,0
P9560,36,60,100,left,858,113.58949516782262,0
P9560,37,60,100,right,1050,163.1899589414624,0
P9560,38,30,200,left,1008,260.01408256520085,0
P9560,39,60,100,right,713,129.59662352307276,0
P9560,40,60,300,right,1149,363.4184862095575,0
P9560,41,90,200,left,769,200.9184222366588,0
P9560,42,90,300,right,763,292.30567334411734,0
P9560,43,90,300,right,818,348.4121604692505,0
P9560,44,30,100,right,766,109.95373676054831,0
P9560,45,90,100,right,719,126.95165150647334,0
P9560,46,30,300,left,1602,305.75161581967257,1
P9560,47,60,200,left,765,180.84338377978312,0
P9560,48,30,300,right,1011,311.48812461304703,0
P9560,49,90,300,left,784,287.98453535074555,0
P9560,50,90,100,left,696,106.31281687403064,0
P9560,51,60,300,left,777,279.6150366610403,0
P9560,52,60,200,left,1116,367.2415413182168,0
P9560,53,30,200,right,861,268.6777577018698,0
P9560,54,30,200,right,1074,266.2011590348194,0
P9560,55,60,200,right,731,213.35856711732325,0
P9560,56,30,200,right,1247,313.8799809989815,0
P9560,57,90,200,left,1060,266.68323127444785,0
P9560,58,60,300,left,816,296.29669354252894,0
P9560,59,30,200,right,935,277.432690303654,0
P9560,60,60,100,left,704,114.37967949777997,0
P9560,61,60,200,right,758,201.6071447139625,0
P9560,62,30,100,right,789,112.44487671717401,0
P9560,63,60,300,right,975,398.17905506641233,0
P9560,64,60,300,left,830,319.1286490410476,0
P9560,65,60,300,left,836,477.42221651780017,0
P9560,66,30,200,left,1393,210.0090698732772,1
P9560,67,30,100,left,1105,169.68393458505673,0
P9560,68,90,300,left,893,260.7389996484917,0
P9560,69,60,100,right,1121,179.1175391452208,0
P9560,70,30,200,right,1132,244.1624455904585,0
P9560,71,90,200,left,719,159.70415073959708,0
P9560,72,90,100,left,765,120.33043703156997,0
P9560,73,60,100,left,799,116.73606797749979,0
P9560,74,30,100,left,761,92.66227766016839,0
P9560,75,30,300,right,1297,470.6059327367641,0
P9560,76,60,200,right,1001,315.98518638527173,0
P9560,77,90,100,right,791,91.97827199953076,0
P9560,78,60,100,left,728,106.63202931398469,0
P9560,79,30,300,left,979,298.9843316236927,0
P9560,80,60,100,left,725,97.96849598101433,0
P9560,81,60,100,left,733,92.62310562561765,0
P9560,82,30,200,right,1185,307.26390960384254,0
P9560,83,60,300,left,856,341.4824477417912,0
P9560,84,30,200,right,946,260.14218157135144,0
P9560,85,60,300,left,829,377.8310506785891,0
P9560,86,60,200,left,803,245.9054150574894,0
P9560,87,60,200,left,832,214.45546769601754,0
P9560,88,30,300,right,1082,349.5424821222078,0
P9560,89,90,100,left,694,163.94226136802328,0
P9560,90,90,200,right,847,265.1829745202251,0
P9560,91,30,100,right,1009,211.67402689180295,0
P9560,92,30,100,right,1067,121.52518326974327,0
P9560,93,30,300,left,1013,330.2271387757532,0
P9560,94,60,100,right,750,134.07872481236714,0
P9560,95,60,100,left,683,104.06527341543855,0
P9560,96,30,300,left,1002,305.84280530267307,0
P9560,97,60,300,right,821,300.6515037679246,0
P9560,98,90,300,right,844,321.7577080030756,0
P9560,99,90,200,right,766,226.30809861029485,0
P9560,100,30,200,left,1008,240.85082704565832,0
P9560,101,60,200,left,886,186.16101777181856,0
P9560,102,30,300,left,1389,342.59737574038525,1
P9560,103,90,100,right,686,164.22644632181363,0
P9560,104,90,200,left,1311,297.9963724543082,1
P9560,105,90,100,right,748,174.21367295716215,0
P9560,106,60,200,right,853,200.2799626697543,0
P9560,107,90,300,left,825,362.581365041106,0
P9560,108,30,100,left,846,111.5,0
P9560,109,90,200,left,756,173.5600860540369,0
P9560,110,90,300,right,1133,371.8129382962664,0
P9560,111,60,100,right,704,100.43007846684748,0
P9560,112,90,200,right,751,163.58534734056363,0
P9560,113,90,100,left,667,163.78883371783309,0
P9560,114,90,300,left,720,324.14301419418666,0
P9560,115,30,200,left,944,197.30984523478799,0
P9560,116,30,200,right,918,201.85332073191745,0
P9560,117,90,100,left,716,137.6234958691648,0
P9560,118,60,300,right,851,357.47986877450097,0
P9560,119,30,300,right,1185,422.3589843023242,0
P9560,120,90,300,right,797,291.7692680550491,0
P9560,121,30,100,left,883,152.62292967647943,0
P9560,122,30,100,right,1053,155.91284052578902,0
P9560,123,30,300,left,1103,370.46448165881384,0
P9560,124,90,200,left,763,211.38326665085182,0
P9560,125,30,200,left,1202,286.68494788110917,0
P9560,126,30,200,right,1067,233.8383000116597,0
P9560,127,30,100,right,835,110.53597001260387,0
P9560,128,60,200,right,793,175.22757540402472,0
P9560,129,90,300,left,857,303.40064031656175,0
P9560,130,60,300,left,1031,428.1482441401854,0
P9560,131,30,200,right,1181,334.9420633930009,0
P9560,132,60,100,right,766,123.86506732504476,0
P9560,133,90,100,left,750,133.04020620869957,0
P9560,134,60,200,right,1051,235.490079483133,0
P9560,135,30,200,left,965,236.16839183850874,0
P9560,136,90,300,right,945,356.05579449855344,0
P9560,137,30,300,right,1029,304.14964929128234,0
P9560,138,60,200,right,882,227.82500326273387,0
P9560,139,60,200,left,686,199.1793683669964,0
P9560,140,60,300,right,1246,437.16041439750495,0
P9560,141,60,200,right,867,182.54748589602298,0
