participantId,trialNumber,targetSize,distance,direction,timeMs,distanceTraveled,errorCount
P5541,1,60,300,right,892,478.22379051913646,1
P5541,2,90,200,right,522,286.4605136766298,0
P5541,3,60,300,left,612,661.3191044409659,0
P5541,4,60,100,left,403,122.85061087548861,0
P5541,5,30,200,left,485,216.3874348867388,0
P5541,6,30,200,right,564,210.15544272559032,0
P5541,7,30,200,right,634,271.3058910234667,0
P5541,8,90,300,left,594,291.8834880624402,0
P5541,9,30,100,right,741,175.04912581456756,0
P5541,10,90,100,left,586,275.62106260009483,0
P5541,11,90,300,right,521,317.4553597486719,0
P5541,12,30,200,left,552,253.50207770944547,0
P5541,13,60,100,left,639,305.8370614242956,0
P5541,14,60,100,left,490,202.49440948637786,0
P5541,15,60,100,right,481,191.81902465400205,0
P5541,16,60,200,left,702,371.7630016237336,0
P5541,17,30,300,left,690,394.73359783511637,0
P5541,18,60,300,right,530,317.99082576872155,0
P5541,19,30,300,left,727,394.7753152885009,0
P5541,20,30,200,left,802,324.52562451045986,0
P5541,21,30,300,right,978,443.7270735014121,0
P5541,22,60,300,left,656,387.5290807369452,0
P5541,23,60,200,left,563,349.33071022762635,0
P5541,24,60,200,right,545,217.46256921444024,0
P5541,25,30,200,right,902,339.7643722833071,0
P5541,26,90,100,left,528,269.3027660031912,0
P5541,27,60,300,left,604,309.33354220193877,0
P5541,28,60,100,left,566,257.6860168444698,0
P5541,29,60,100,right,585,339.588595992245,0
P5541,30,90,100,right,469,289.15956820059574,0
P5541,31,30,300,left,794,307.28162177940146,0
P5541,32,60,300,right,765,317.5618524055918,0
P5541,33,90,300,right,536,349.3160844416546,0
P5541,34,60,300,left,566,316.94136516695187,0
P5541,35,90,300,left,554,493.6123159579093,0
P5541,36,60,300,left,745,292.4235170345088,0
P5541,37,60,100,right,611,295.08304278826427,0
P5541,38,90,300,right,569,369.7964920732197,0
P5541,39,30,300,left,926,403.2606158228263,1
P5541,40,30,300,left,805,588.3089793984296,0
P5541,41,30,200,right,694,200.57880430383233,0
P5541,42,30,200,right,836,357.51431205655126,0
P5541,43,30,100,right,653,118.40377650832345,0
P5541,44,90,300,left,622,668.6862851699625,0
P5541,45,90,200,right,480,193.30312963448063,0
P5541,46,90,300,right,511,302.2679871282787,0
P5541,47,30,200,right,964,400.7634125356388,0
P5541,48,30,300,left,763,374.70707318975343,0
P5541,49,90,100,right,570,325.7904476001116,0
P5541,50,30,100,left,710,190.83520185847237,0
P5541,51,60,300,right,587,376.59591141583843,0
P5541,52,90,100,right,467,192.5162288492068,0
P5541,53,30,300,right,733,481.40999619920456,0
P5541,54,90,300,left,538,318.12412432850414,0
P5541,55,90,200,right,544,260.5655768099035,0
P5541,56,90,100,left,496,588.2095092286928,0
P5541,57,90,300,right,506,467.59163298776946,0
P5541,58,90,200,right,690,382.7113836782357,1
P5541,59,90,300,left,485,364.10347465678046,0
P5541,60,60,200,right,696,392.63566928003473,1
P5541,61,90,300,left,685,449.0171993883622,1
