participantId,trialNumber,targetSize,distance,direction,timeMs,distanceTraveled,errorCount
P9517,1,60,300,left,1066,325.2020613938124,0
P9517,2,60,100,left,744,95.20243798882886,0
P9517,3,30,300,left,1034,360.3064130620065,0
P9517,4,30,200,left,866,210.15894040270135,0
P9517,5,30,200,left,1049,207.7461864250628,0
P9517,6,60,200,left,932,257.5296974374306,0
P9517,7,60,300,left,1293,338.29377838715254,0
P9517,8,90,100,left,1294,201.70487315932056,1
P9517,9,30,200,right,1095,305.6214717470192,0
P9517,10,60,200,left,1218,213.9011525126541,0
P9517,11,90,200,right,1119,226.8598398296813,0
P9517,12,60,100,left,1264,147.72222410079328,0
P9517,13,90,300,right,1143,309.2955434942919,0
P9517,14,60,300,right,1032,319.61003341480136,0
P9517,15,30,300,right,1243,344.660550673544,0
P9517,16,30,300,left,895,287.33768197916487,0
P9517,17,90,300,right,784,294.9477031043652,0
P9517,18,90,200,right,972,217.744573647315,0
P9517,19,60,100,right,827,124.54987562112089,0
P9517,20,90,100,right,829,117.75343316618306,0
P9517,21,30,200,right,973,205.21425684900572,0
P9517,22,30,200,right,985,220.6084436122275,0
P9517,23,60,200,right,896,194.2104881080019,0
P9517,24,60,200,right,803,200.04632285996743,0
P9517,25,30,100,right,748,108.02474112719862,0
P9517,26,30,200,right,1147,310.6626508454496,0
P9517,27,60,200,left,938,215.9106717588766,0
P9517,28,90,300,right,896,331.1505507027861,0
P9517,29,90,100,left,730,163.7451336012117,0
P9517,30,60,200,left,796,246.85871181727404,0
P9517,31,90,100,right,1049,190.45559277982707,0
P9517,32,30,300,left,836,381.71008105409544,0
P9517,33,90,300,right,736,328.8866764719,0
P9517,34,30,200,left,1544,282.9956883136143,1
P9517,35,30,200,right,854,219.17790343206244,0
P9517,36,60,100,left,954,193.51541638964008,0
P9517,37,60,100,left,752,120.19766429986322,0
P9517,38,60,100,left,687,91.33475822205128,0
P9517,39,90,100,left,607,111.73212459828649,0
P9517,40,90,200,left,743,224.08683098441585,0
P9517,41,30,300,right,1023,457.02752334188375,0
P9517,42,90,100,left,743,101.42647081015744,0
P9517,43,30,300,left,1083,383.38883197469886,0
P9517,44,30,200,right,1247,270.5272169469468,0
P9517,45,60,200,right,844,201.01194939786572,0
P9517,46,90,100,right,918,154.89291573436748,0
P9517,47,60,300,left,1144,360.6494042867272,0
P9517,48,30,300,right,1305,441.2971938302757,0
P9517,49,30,100,right,853,93.70168036668187,0
P9517,50,90,300,left,778,275.2764217227353,0
P9517,51,60,200,left,873,201.72600683222876,0
P9517,52,30,200,right,993,286.16708359241096,0
P9517,53,30,100,left,830,139.3827022791325,0
P9517,54,90,200,right,1111,260.2961917223256,0
P9517,55,60,300,right,907,295.805217438341,0
P9517,56,90,300,right,799,263.79611440389743,0
P9517,57,30,300,left,979,331.93051954599736,0
P9517,58,60,100,right,798,136.18273162240342,0
P9517,59,90,200,left,784,219.6710115402938,0
P9517,60,60,200,left,762,191.2783057750624,0
P9517,61,90,300,right,1076,421.1240898280777,0
P9517,62,30,100,right,1463,174.70836638195453,0
P9517,63,90,100,right,812,103.16896811444437,0
P9517,64,90,100,right,725,101.52039967047845,0
P9517,65,60,200,right,1027,187.90740044615438,0
P9517,66,60,200,left,886,245.58197589894075,0
P9517,67,60,100,right,1043,262.27310619914795,0
P9517,68,90,200,left,708,199.88204019930407,0
P9517,69,60,100,left,858,118.33303399855544,0
P9517,70,90,100,right,701,90.99785127032953,0
P9517,71,90,100,left,690,125.78412388909989,0
P9517,72,60,300,left,868,276.51825783375443,0
P9517,73,90,100,left,990,198.531401529101,0
P9517,74,30,300,left,951,319.3264275994714,0
P9517,75,90,100,left,733,124.43535038313769,0
P9517,76,30,300,right,1202,324.8528923153508,0
P9517,77,30,100,right,820,103.7067806429613,0
P9517,78,60,100,right,717,126.3123266426023,0
P9517,79,30,100,right,1059,101.94472375740065,0
P9517,80,90,200,right,797,178.3649219783642,0
P9517,81,30,100,right,871,117.01861465651244,0
P9517,82,90,200,right,890,183.21851192842925,0
P9517,83,60,300,left,934,365.07142444053807,0
P9517,84,30,100,right,2186,166.15652013141258,0
P9517,85,90,100,left,675,87.73339509432742,0
P9517,86,60,100,right,976,119.20660662332133,1
P9517,87,90,300,right,899,277.7504442314646,0
P9517,88,30,300,left,1054,365.22872558399985,0
P9517,89,60,100,left,1271,219.77117873554909,0
P9517,90,90,300,left,973,290.71864853120394,0
P9517,91,30,100,left,919,104.32598364526325,0
P9517,92,90,300,left,929,318.334137636994,0
P9517,93,60,300,right,955,418.76991825590665,0
P9517,94,30,100,left,757,113.73522754039833,0
P9517,95,90,300,left,875,419.6221112234225,0
P9517,96,90,300,right,1410,326.6150899690475,0
P9517,97,30,100,right,851,111.24891933726629,0
P9517,98,60,200,right,1083,287.6898369232554,0
P9517,99,30,300,right,1219,313.7846884363576,0
P9517,100,30,300,left,1312,328.9329155386846,0
P9517,101,60,100,right,850,91.4041995803405,0
P9517,102,30,300,right,1455,298.98048574644207,0
P9517,103,30,200,left,956,244.89688529709215,0
P9517,104,90,200,left,1100,206.43041345207072,0
P9517,105,30,100,left,968,110.73796200031362,0
P9517,106,60,200,left,1200,205.8393784115191,0
P9517,107,60,100,right,786,120.89835415831992,0
P9517,108,30,200,left,1064,202.45528941991566,0
P9517,109,30,100,left,1606,165.31940569014264,0
P9517,110,30,200,right,1204,257.75530445017466,0
P9517,111,60,200,right,1074,288.26647397838497,0
P9517,112,60,300,left,998,296.16057259289767,0
P9517,113,90,300,right,1126,339.61857706619077,0
P9517,114,60,300,left,1017,287.4701823305978,0
P9517,115,90,200,left,795,236.0967114775929,0
P9517,116,30,200,left,897,209.1172871171841,0
P9517,117,30,200,left,1290,277.60381073416056,0
P9517,118,60,200,left,904,181.86210294578055,0
P9517,119,90,200,right,804,208.33751447915333,0
P9517,120,60,300,left,1279,358.7436144804474,0
P9517,121,30,200,right,1249,264.7098870279217,0
P9517,122,60,300,left,1062,314.92917799533205,0
P9517,123,90,200,left,1136,224.515206277751,0
P9517,124,90,300,left,1084,321.079572245235,0
P9517,125,90,200,left,714,183.26667338002903,0
P9517,126,30,100,left,1032,210.50890470317657,0
P9517,127,90,200,right,1020,230.28650091569216,0
P9517,128,90,200,right,960,209.63140290079508,0
P9517,129,60,100,right,924,122.07985529649919,0
P9517,130,30,300,left,1226,565.7739400631677,0
P9517,131,90,200,right,782,172.62310562561765,0
P9517,132,60,200,right,949,216.4506921220618,0
P9517,133,30,300,right,1152,451.8268736537661,0
P9517,134,30,300,right,1220,315.9179655545927,0
P9517,135,60,300,right,1654,306.60711544941455,0
P9517,136,90,300,left,1289,734.024353710216,0
P9517,137,90,200,left,1066,266.9889733658179,0
P9517,138,60,200,right,1125,220.27490189105944,0
P9517,139,30,300,left,1119,337.09198547136003,0
P9517,140,60,300,right,1387,309.37614641278543,0
P9517,141,90,100,right,2669,124.36531473968714,0
P9517,142,30,300,right,1409,363.45762101266814,0
P9517,143,60,300,left,1186,359.36588697381694,0
P9517,144,90,300,left,1022,385.6362644728549,0
