participantId,trialNumber,targetSize,distance,direction,timeMs,distanceTraveled,errorCount
P8698,1,60,300,left,957,326.3873565112077,0
P8698,2,90,100,left,711,128.57190776111187,0
P8698,3,60,300,left,1310,378.2911475372075,1
P8698,4,60,100,left,760,103.7866260366769,0
P8698,5,60,200,right,1096,293.025362606019,0
P8698,6,30,300,right,1224,381.22779510310244,0
P8698,7,30,300,right,1567,382.7269873958414,0
P8698,8,30,100,right,1313,100.14336886032766,1
P8698,9,30,100,right,1173,149.93176825616464,0
P8698,10,90,300,right,1160,298.99797168468206,0
P8698,11,60,300,right,1133,291.2283414147657,0
P8698,12,30,100,left,1212,394.0540463261825,0
P8698,13,60,200,right,1273,200.92344779673138,0
P8698,14,30,100,right,1124,147.26450412087428,0
P8698,15,90,200,right,935,193.87312905893663,0
P8698,16,90,200,left,1015,345.8810063386694,0
P8698,17,90,300,left,994,360.19877092073403,0
P8698,18,30,200,right,1178,206.06335964459961,0
P8698,19,30,200,left,1633,305.0596549598993,0
P8698,20,60,200,left,1208,420.50310614426826,0
P8698,21,30,100,right,1184,190.1713777511936,0
P8698,22,60,100,left,822,106.29231418887024,0
P8698,23,30,200,left,1200,364.8256302999365,0
P8698,24,60,100,right,980,172.17135955149047,0
P8698,25,60,300,left,956,305.6391430964432,0
P8698,26,90,300,left,1046,328.6040752163791,0
P8698,27,30,300,right,2399,798.842867882239,1
P8698,28,90,200,right,985,205.6053719792261,0
P8698,29,90,100,right,1170,144.11079353106064,0
P8698,30,30,300,left,1135,346.89806214987874,0
P8698,31,90,100,right,905,66.88383856651626,0
P8698,32,30,300,right,1986,376.61693302483366,1
P8698,33,90,300,left,1364,284.8206225218185,0
P8698,34,90,300,left,1067,330.21718179415217,0
P8698,35,60,300,right,1159,306.9052584235225,0
P8698,36,60,200,left,1082,218.18490304234246,0
P8698,37,90,100,left,1042,304.08148614588436,0
P8698,38,90,200,left,1045,213.90399986917373,0
P8698,39,90,100,left,984,143.40655758593545,0
P8698,40,30,200,right,996,206.3849952873125,0
P8698,41,60,100,left,918,107.2872203442449,0
P8698,42,90,300,right,1027,277.84099930680026,0
P8698,43,30,200,right,1290,318.9952987482088,0
P8698,44,30,200,right,1312,290.7699819236448,0
P8698,45,30,200,right,1221,232.38994940648718,0
P8698,46,30,100,right,1083,143.6927674253444,0
P8698,47,60,100,right,1037,177.12270956439446,0
P8698,48,30,200,left,1302,365.32757455470164,0
P8698,49,60,100,right,1081,215.38904444774553,0
P8698,50,60,300,left,1032,282.75373728546737,0
P8698,51,30,200,right,1141,227.00322989399024,0
P8698,52,90,300,left,962,310.49516165047766,0
P8698,53,60,100,right,1251,153.95896985771532,0
P8698,54,90,300,left,1084,285.5021592393408,0
P8698,55,60,100,left,1103,388.520965919927,0
P8698,56,60,100,left,1067,355.0107435112953,0
P8698,57,30,200,left,1261,463.871911469654,0
P8698,58,90,200,left,1034,420.1754695978563,0
P8698,59,60,300,right,1057,307.5779881276893,0
P8698,60,60,200,right,1239,421.50608655079577,0
P8698,61,90,200,left,1663,266.6000159485061,1
P8698,62,60,200,left,1224,365.14834253187655,0
P8698,63,60,200,left,1128,369.12266204662086,0
P8698,64,30,100,left,1011,148.1897227821128,0
P8698,65,60,300,right,1039,286.91486262369017,0
P8698,66,30,200,left,1081,206.48016141003427,0
P8698,67,60,100,right,1033,213.52773049667906,0
P8698,68,30,300,right,1235,326.9032204869621,0
P8698,69,90,200,left,875,193.34164301638248,0
P8698,70,30,300,right,1086,317.33862539686953,0
P8698,71,60,200,left,933,203.85281122985128,0
P8698,72,30,300,left,1350,723.6704637441122,0
P8698,73,90,200,right,1209,307.23963983136133,0
P8698,74,30,100,right,1352,345.1268933270387,0
P8698,75,60,100,left,1349,208.28819384889556,0
P8698,76,60,300,left,1165,369.970789815126,0
P8698,77,30,300,right,1262,320.18791052006895,0
P8698,78,30,100,right,1213,283.18558153020854,0
P8698,79,90,100,left,1240,165.27910635134367,0
P8698,80,30,200,left,1607,397.3441492588335,0
P8698,81,90,300,right,1309,310.7670494326435,0
P8698,82,90,300,left,1012,309.24657375802866,0
P8698,83,60,200,left,1127,543.7806515553668,0
P8698,84,60,100,left,1045,218.0987142493348,0
P8698,85,30,100,left,1211,227.77950473607322,0
P8698,86,90,300,right,983,276.0212675772927,0
P8698,87,60,100,right,1265,176.6196439833889,0
P8698,88,60,300,left,1081,291.7231795932552,0
P8698,89,90,200,right,941,224.2590059142808,0
P8698,90,90,100,left,844,115.98028348836549,0
P8698,91,60,300,left,1263,428.1197416834141,0
P8698,92,60,200,left,1018,335.7899926278276,0
P8698,93,30,300,left,1189,450.5050012978456,0
P8698,94,30,200,right,946,209.28628498727397,0
P8698,95,30,100,left,1110,217.94833156047986,0
P8698,96,90,200,left,1179,287.111345822198,0
P8698,97,90,200,left,1033,311.1723474240951,0
P8698,98,60,200,right,1145,247.80021092321775,0
P8698,99,90,100,left,806,147.48267980513197,0
P8698,100,30,300,right,1284,312.096368402775,0
P8698,101,90,200,right,1086,397.40227471939164,0
P8698,102,60,100,left,1305,216.43292750527797,0
P8698,103,90,300,left,1059,331.6186257011831,0
P8698,104,60,200,right,1155,294.06786971107834,0
P8698,105,30,300,left,1187,320.79774308783146,0
P8698,106,90,200,left,1043,175.67013130736788,0
P8698,107,30,200,right,1260,268.26431839920747,0
P8698,108,60,300,right,1140,400.80183223254716,0
P8698,109,90,300,right,1081,384.0262275909648,0
