participantId,trialNumber,targetSize,distance,direction,timeMs,distanceTraveled,errorCount
P5784,1,60,300,right,1235,466.00807520084606,0
P5784,2,30,100,right,1401,136.08195759549776,1
P5784,3,90,200,right,782,193.7449127443075,0
P5784,4,90,300,right,779,277.0046699292556,0
P5784,5,90,100,right,648,99.96920486713243,0
P5784,6,90,200,right,749,195.4359085025456,0
P5784,7,30,100,left,795,152.89952346183486,0
P5784,8,30,200,left,1162,391.79218488606074,0
P5784,9,90,100,left,2107,180.55113499033868,0
P5784,10,30,100,left,1113,143.97809272105732,0
P5784,11,60,100,right,741,112.62820838622252,0
P5784,12,60,100,right,754,121.92202360932917,0
P5784,13,90,200,left,737,162.61465164905206,0
P5784,14,30,100,right,1112,152.70595026673578,0
P5784,15,90,300,right,3339,299.6252632149465,0
P5784,16,90,100,left,694,180.86528266926513,0
P5784,17,90,100,right,1012,171.0364933061038,1
P5784,18,90,300,right,717,273.1809493491624,0
P5784,19,90,100,right,683,111.12136812625394,0
P5784,20,60,300,left,1450,487.6576357711625,0
P5784,21,30,100,right,892,104.17579566188593,0
P5784,22,60,100,right,686,91.01856227292765,0
P5784,23,30,200,right,1039,270.59702531876775,0
P5784,24,60,200,left,831,211.73265103356894,0
P5784,25,60,100,left,701,92.61266239065777,0
P5784,26,90,200,left,735,166.5149979598203,0
P5784,27,60,200,right,798,196.22220911135392,0
P5784,28,60,200,left,791,190.47691719000855,0
P5784,29,90,200,right,810,307.7475784045852,0
P5784,30,60,200,left,712,238.45885671822805,0
P5784,31,30,300,right,937,350.16391330100697,0
P5784,32,60,300,right,844,322.26764977191635,0
P5784,33,30,200,left,924,272.2051481588895,0
P5784,34,30,100,left,725,86.71841187582166,0
P5784,35,90,200,left,647,209.94239381917723,0
P5784,36,90,300,right,1097,308.7802832416884,0
P5784,37,90,200,left,653,263.87077882441673,0
P5784,38,30,100,left,817,102.2297675748984,0
P5784,39,30,300,right,1031,406.16011578442436,0
P5784,40,30,100,right,781,114.13430532003075,0
P5784,41,90,300,left,698,295.50123260754924,0
P5784,42,60,300,left,1112,417.34105008373837,0
P5784,43,60,300,right,799,361.79454993117525,0
P5784,44,60,300,right,771,301.38404295242157,0
P5784,45,30,100,right,1031,177.21184814669996,0
P5784,46,60,300,right,1052,352.08247606212075,0
P5784,47,60,200,left,1035,235.5119696471932,0
P5784,48,90,100,right,1017,312.4913650214734,0
P5784,49,90,200,right,750,207.6385258665609,0
P5784,50,60,100,left,653,154.16825085643325,0
P5784,51,90,300,left,734,310.97332674022687,0
P5784,52,60,300,left,903,302.8970408941214,0
P5784,53,90,100,right,728,149.71980522766484,0
P5784,54,90,300,left,684,302.5862362283325,0
P5784,55,30,300,left,1488,358.68127103216506,0
P5784,56,30,200,left,910,211.00158079403735,0
P5784,57,60,200,right,1093,308.9777184383307,0
P5784,58,60,200,right,788,193.8570233245197,0
P5784,59,60,100,left,716,108.17633684236867,0
P5784,60,30,100,right,1113,171.71959685032598,0
P5784,61,90,300,right,802,310.13910288113175,0
P5784,62,90,100,left,690,131.18072291537754,0
P5784,63,30,200,right,1239,342.23541843370816,0
P5784,64,60,100,left,757,139.38511811438389,0
P5784,65,60,300,left,802,293.33885843259526,0
P5784,66,60,300,left,1099,301.141104066794,0
P5784,67,60,100,right,864,117.63380006684625,0
P5784,68,90,100,left,866,110.56238811437862,0
P5784,69,60,300,left,1137,289.52615802742633,0
P5784,70,30,300,left,894,313.3684467972438,0
P5784,71,60,200,right,932,218.18847047005087,0
P5784,72,90,200,left,786,293.0282966169678,0
P5784,73,90,100,left,635,117.6744321582598,0
P5784,74,30,100,left,743,107.84209378353516,0
P5784,75,90,100,right,1041,104.59016994374946,0
P5784,76,60,200,right,1147,199.52713502557214,0
P5784,77,60,200,right,886,211.07414771288987,0
P5784,78,60,200,left,851,272.84604073496496,0
P5784,79,60,300,right,877,310.2574556373782,0
P5784,80,30,300,right,1088,296.87184348559936,0
P5784,81,60,200,right,1286,270.3463022294111,0
P5784,82,90,300,left,1557,275.22874570431105,0
P5784,83,60,100,left,749,99.33303399855544,0
P5784,84,30,200,left,767,201.95282108564237,0
P5784,85,90,100,left,782,103.08445457014494,0
P5784,86,90,200,left,840,186.29686577936894,0
P5784,87,60,300,left,1203,309.0079556276716,0
P5784,88,90,300,right,1134,497.5741269648732,0
P5784,89,30,200,right,1449,369.75204668330986,0
P5784,90,60,200,left,679,201.09199475244893,0
P5784,91,30,100,left,711,98.23167757274054,0
P5784,92,90,100,left,617,96.88599665940318,0
P5784,93,30,200,left,765,207.12357549402438,0
P5784,94,90,300,left,666,277.49629989535276,0
P5784,95,30,200,right,733,221.8689082260189,0
P5784,96,30,200,right,882,290.62485853698905,0
P5784,97,30,200,left,869,204.45668200082454,0
P5784,98,30,300,left,1045,305.1812132244729,0
P5784,99,30,100,right,910,312.65311652598086,0
P5784,100,30,200,right,899,296.52418546573404,0
P5784,101,30,300,right,899,326.04843720887266,0
P5784,102,60,100,right,999,225.04433437387914,0
P5784,103,60,100,right,1060,92.53102658473732,0
P5784,104,60,300,left,971,373.6572479837724,0
P5784,105,30,300,right,1050,345.08664334561325,0
P5784,106,60,300,right,921,309.3890545894525,0
P5784,107,30,100,left,782,101.76273061688747,0
P5784,108,90,200,right,733,209.87663430195877,0
P5784,109,90,300,right,728,296.01124826482715,0
P5784,110,30,300,left,1083,361.143612138331,0
P5784,111,30,200,left,817,212.5181027144321,0
P5784,112,60,100,right,801,128.02525694421382,0
P5784,113,60,300,left,1000,304.65114883525405,0
P5784,114,30,300,left,1522,335.660337035285,1
P5784,115,30,100,left,912,96.78851313756374,0
P5784,116,30,300,right,950,462.37101821768266,0
P5784,117,30,100,right,727,103.65050526942038,0
P5784,118,30,200,right,964,207.0223316957154,0
P5784,119,60,100,left,803,197.52411777495826,0
P5784,120,30,300,right,1276,425.0340510525719,0
P5784,121,30,300,left,993,305.7723451760974,0
P5784,122,60,300,right,765,339.78246361481587,0
P5784,123,90,200,right,674,194.27979523601635,0
P5784,124,30,300,right,1315,356.21937590348045,0
P5784,125,90,100,left,683,107.72037515454058,0
P5784,126,30,200,right,879,240.60968484560038,0
P5784,127,90,300,left,785,358.01415031723275,0
P5784,128,90,200,right,733,218.20299035119677,0
P5784,129,30,300,right,881,318.3171030038261,0
P5784,130,30,300,right,1416,403.3341734038076,0
P5784,131,90,200,right,781,211.09160796428895,0
P5784,132,60,100,right,716,117.73473880117943,0
P5784,133,90,100,right,662,112.76683226820738,0
P5784,134,60,200,left,993,264.51789226648265,0
P5784,135,90,300,left,727,267.35303502600385,0
P5784,136,90,300,left,735,288.8685657049037,0
P5784,137,90,200,left,666,223.05541514747793,0
P5784,138,60,300,left,1227,363.888909322142,0
P5784,139,90,300,right,1121,362.8166490474257,0
P5784,140,30,100,left,1127,202.53325891781748,0
P5784,141,60,100,left,735,107.25275586483745,0
P5784,142,60,100,right,777,198.48407734692213,0
P5784,143,90,200,left,774,185.29776124376977,0
P5784,144,90,200,left,751,179.70560925977242,0
P5784,145,90,300,right,885,306.2720477525253,0
P5784,146,60,100,left,743,235.63837681874583,0
P5784,147,30,300,left,1077,329.1487557931108,0
P5784,148,30,200,left,813,187.0402572884034,0
P5784,149,30,200,left,1111,273.3913352335293,0
P5784,150,60,200,right,961,274.0599003993467,0
P5784,151,90,200,right,1225,264.00267719208523,0
P5784,152,90,300,right,1159,386.42220030959294,0
P5784,153,60,100,right,1281,99.15891053163818,0
P5784,154,30,200,left,1001,196.05130009071866,0
P5784,155,30,200,right,1117,326.17881837484623,0
P5784,156,60,300,right,925,343.3814866759002,0
P5784,157,30,300,left,1265,333.23924203275067,0
P5784,158,60,200,right,1164,299.0011795865174,0
P5784,159,30,200,right,1083,218.7893452801741,0
P5784,160,90,100,right,735,90.18986998299339,0
P5784,161,90,300,left,748,264.6846848642633,0
P5784,162,60,200,left,806,190.6015159295613,0
P5784,163,30,300,left,1392,399.1709974100657,0
P5784,164,60,300,right,952,362.3252712492824,0
P5784,165,30,300,left,918,352.37850001968883,0
P5784,166,60,100,left,751,162.5397330642,0
P5784,167,60,200,left,849,173.72349886896237,0
P5784,168,30,100,left,1062,107.70218870443011,0
P5784,169,60,100,left,744,84.62310562561765,0
P5784,170,60,200,right,772,216.19443109186534,0
P5784,171,90,200,left,740,261.7358433410855,0
P5784,172,60,200,left,739,189.38746349753407,0
P5784,173,90,300,left,766,345.4547024921981,0
P5784,174,90,100,left,702,109.9576864867339,0
P5784,175,30,100,right,1149,194.63830228526237,0
P5784,176,90,100,left,934,155.4126120069386,0
P5784,177,30,100,right,1198,202.9987131510301,0
P5784,178,90,100,right,1117,153.780973924995,0
P5784,179,90,200,right,1069,191.1153060074842,0
P5784,180,90,100,right,919,115.17317092676325,0
